"index","timestamp","updates","states","reward","reward_per_1k_updates","reward_per_1k_updates_sma25","updates_progress","states_progress","reward_progress"
"142","20260219_024807","86260","514","-1874,687095","-3,025105","-18,749127","0,195064","0,04869","-0,196684"
"143","20260219_024828","86895","520","-1889,757095","-23,732283","-18,681085","0,196868","0,050173","-0,198715"
"144","20260219_024848","87556","521","-1904,179095","-21,818457","-19,010036","0,198746","0,05042","-0,200658"
"145","20260219_024901","87982","521","-1915,193095","-25,85446","-19,504177","0,199957","0,05042","-0,202142"
"146","20260219_024919","88443","523","-1931,062595","-34,424078","-20,064493","0,201267","0,050914","-0,20428"
"147","20260219_024935","88972","523","-1943,078095","-22,713611","-20,177914","0,20277","0,050914","-0,205898"
"148","20260219_024956","89621","523","-1963,162595","-30,946841","-20,316782","0,204614","0,050914","-0,208604"
"149","20260219_025018","90362","523","-1973,753595","-14,292848","-20,759184","0,206719","0,050914","-0,210031"
"150","20260219_025032","90736","524","-1981,394595","-20,430481","-20,957994","0,207782","0,051162","-0,211061"
"151","20260219_025052","91304","525","-1999,039595","-31,065141","-20,957709","0,209395","0,051409","-0,213438"
"152","20260219_025107","91783","526","-2011,331595","-25,661795","-21,907264","0,210756","0,051656","-0,215094"
"153","20260219_025124","92280","528","-2020,895595","-19,243461","-21,878044","0,212169","0,05215","-0,216383"
"154","20260219_025142","92856","529","-2030,551095","-16,763021","-21,250589","0,213805","0,052397","-0,217684"
"155","20260219_025204","93467","530","-2042,064595","-18,843699","-21,454391","0,215541","0,052645","-0,219235"
"156","20260219_025219","93911","530","-2059,547595","-39,376126","-21,307518","0,216803","0,052645","-0,22159"
"157","20260219_025240","94587","531","-2067,872095","-12,314349","-21,548122","0,218723","0,052892","-0,222712"
"158","20260219_025257","95130","534","-2078,318095","-19,237569","-21,002189","0,220266","0,053633","-0,224119"
"159","20260219_025312","95620","534","-2088,471095","-20,720408","-21,058056","0,221658","0,053633","-0,225487"
"160","20260219_025324","96035","535","-2107,609595","-46,116867","-22,242028","0,222838","0,05388","-0,228066"
"161","20260219_025343","96622","537","-2110,057595","-4,170358","-21,99521","0,224505","0,054375","-0,228396"
"162","20260219_025357","97113","537","-2122,453095","-25,245418","-22,156602","0,2259","0,054375","-0,230066"
"163","20260219_025419","97810","537","-2131,518095","-13,005739","-21,627826","0,227881","0,054375","-0,231287"
