"Timestamp","TotalUpdates","Reward","States3D","StatesPlanar"
"20260219_043527","285817","-5936,322095197981","0","711"
"20260219_043539","286228","-5941,820595197977","0","712"
"20260219_043558","286799","-5942,114095197973","0","713"
"20260219_043611","287202","-5952,499095197973","0","713"
"20260219_043628","287691","-5966,060595197966","0","713"
"20260219_043640","288063","-5972,947595197961","0","713"
"20260219_043653","288417","-5983,75459519796","0","713"
"20260219_043707","288889","-5980,157595197957","0","714"
"20260219_043724","289367","-5991,010095197952","0","714"
"20260219_043737","289768","-5997,169595197952","0","714"
"20260219_043757","290354","-6008,055095197947","0","714"
"20260219_043809","290784","-6020,71959519794","0","714"
"20260219_043822","291143","-6028,594095197939","0","714"
"20260219_043838","291671","-6034,217095197934","0","714"
"20260219_043857","292130","-6047,170595197931","0","714"
"20260219_043914","292682","-6064,132095197926","0","714"
"20260219_043933","293214","-6067,506095197925","0","715"
"20260219_043951","293880","-6069,674595197919","0","715"
